# model	fn	r	valid	nonman	chi	genus	comp	v	e	f	warn	tol	runs	distinct	agree	secs	bin	nmvert	throat	wantcomp
cross	def	1.0	VALID	0	2	0	1	435	1299	866	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	def	1.5	VALID	0	2	0	1	435	1299	866	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cross	def	2.0	VALID	0	2	0	1	435	1299	866	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	def	def	VALID	0	2	0	1	474	1416	944	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
boss_plate	8	def	INVALID	8	6	n/a	1	288	862	580	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	10	def	VALID	0	2	0	1	568	1698	1132	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	12	def	VALID	0	2	0	1	440	1314	876	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	14	def	VALID	0	2	0	1	813	2433	1622	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
boss_plate	16	def	VALID	0	2	0	1	664	1986	1324	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	19	def	VALID	0	2	0	1	1232	3690	2460	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	24	def	VALID	0	2	0	1	1041	3117	2078	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	26	def	VALID	0	2	0	1	1760	5274	3516	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
boss_plate	32	def	VALID	0	2	0	1	1512	4530	3020	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	48	def	VALID	0	2	0	1	2748	8238	5492	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	64	def	VALID	0	2	0	1	4362	13080	8720	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	def	0.2	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	def	0.3	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	def	0.5	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
boss_plate	def	0.8	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	def	0.9	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	def	1.0	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
boss_plate	def	1.5	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
boss_plate	def	2.0	VALID	0	2	0	1	474	1416	944	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	def	def	VALID	0	2	0	1	512	1530	1020	2	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	8	def	INVALID	10	7	n/a	1	512	1535	1030	2	1e-6	3	1	yes	3	f6d06ecb	0	-	1
two_bosses	10	def	VALID	0	2	0	1	826	2472	1648	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	12	def	VALID	0	2	0	1	806	2412	1608	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	14	def	VALID	0	2	0	1	1176	3522	2348	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
two_bosses	16	def	VALID	0	2	0	1	1056	3162	2108	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	19	def	VALID	0	2	0	1	1392	4170	2780	2	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	24	def	VALID	0	2	0	1	1661	4977	3318	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	26	def	VALID	0	2	0	1	2556	7662	5108	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	32	def	VALID	0	2	0	1	2379	7131	4754	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	48	def	VALID	0	2	0	1	4197	12585	8390	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	64	def	VALID	0	2	0	1	5595	16779	11186	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	def	0.2	VALID	0	2	0	1	897	2685	1790	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
two_bosses	def	0.3	VALID	0	2	0	1	877	2625	1750	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
