# model	fn	r	valid	nonman	chi	genus	comp	v	e	f	warn	tol	runs	distinct	agree	secs	bin	nmvert	throat	wantcomp
tee_small	10	def	VALID	0	2	0	1	198	588	392	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	12	def	VALID	0	2	0	1	260	774	516	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	3	cec740d3	0	-	1
tee_small	16	def	VALID	0	2	0	1	330	984	656	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	19	def	VALID	0	2	0	1	768	2298	1532	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	24	def	VALID	0	2	0	1	640	1914	1276	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	26	def	VALID	0	2	0	1	784	2346	1564	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	32	def	VALID	0	2	0	1	1076	3222	2148	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	48	def	VALID	0	2	0	1	1950	5844	3896	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	64	def	VALID	0	2	0	1	3366	10092	6728	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	def	0.2	VALID	0	2	0	1	368	1098	732	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	def	0.3	VALID	0	2	0	1	254	756	504	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	def	0.5	VALID	0	2	0	1	152	450	300	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	def	0.8	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	def	0.9	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	3	cec740d3	0	-	1
tee_small	def	1.0	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	def	1.5	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_small	def	2.0	VALID	0	2	0	1	140	414	276	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	def	def	VALID	0	2	0	1	464	1386	924	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	8	def	VALID	0	2	0	1	300	894	596	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	10	def	VALID	0	2	0	1	350	1044	696	0	1e-6	3	1	yes	3	cec740d3	0	-	1
tee_large	12	def	VALID	0	2	0	1	240	714	476	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	14	def	VALID	0	2	0	1	288	858	572	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	16	def	VALID	0	2	0	1	330	984	656	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	19	def	VALID	0	2	0	1	768	2298	1532	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	24	def	VALID	0	2	0	1	640	1914	1276	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	26	def	VALID	0	2	0	1	784	2346	1564	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	32	def	VALID	0	2	0	1	1076	3222	2148	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	48	def	VALID	0	2	0	1	1950	5844	3896	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	64	def	VALID	0	2	0	1	3366	10092	6728	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	def	0.2	VALID	0	2	0	1	2026	6072	4048	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	def	0.3	VALID	0	2	0	1	1366	4092	2728	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	def	0.5	VALID	0	2	0	1	1012	3030	2020	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	def	0.8	VALID	0	2	0	1	682	2040	1360	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	def	0.9	VALID	0	2	0	1	682	2040	1360	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	def	1.0	VALID	0	2	0	1	682	2040	1360	0	1e-6	3	1	yes	4	cec740d3	0	-	1
tee_large	def	1.5	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	3	cec740d3	0	-	1
tee_large	def	2.0	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	def	def	VALID	0	2	0	1	701	2097	1398	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	8	def	VALID	0	2	0	1	668	1998	1332	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	10	def	VALID	0	2	0	1	852	2550	1700	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	12	def	VALID	0	2	0	1	836	2502	1668	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	14	def	VALID	0	2	0	1	1092	3270	2180	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	16	def	VALID	0	2	0	1	1052	3150	2100	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	19	def	VALID	0	2	0	1	1802	5400	3600	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	24	def	VALID	0	2	0	1	2300	6894	4596	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	26	def	VALID	0	2	0	1	3264	9786	6524	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	32	def	VALID	0	2	0	1	4028	12078	8052	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	48	def	VALID	0	2	0	1	5748	17238	11492	0	1e-6	3	1	yes	5	cec740d3	0	-	1
cross	64	def	VALID	0	2	0	1	15740	47214	31476	0	1e-6	3	1	yes	6	cec740d3	0	-	1
cross	def	0.2	VALID	0	2	0	1	1691	5067	3378	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	def	0.3	VALID	0	2	0	1	1184	3546	2364	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	def	0.5	VALID	0	2	0	1	761	2277	1518	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	def	0.8	VALID	0	2	0	1	701	2097	1398	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	def	0.9	VALID	0	2	0	1	701	2097	1398	0	1e-6	3	1	yes	3	cec740d3	0	-	1
cross	def	1.0	VALID	0	2	0	1	701	2097	1398	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	def	1.5	VALID	0	2	0	1	701	2097	1398	0	1e-6	3	1	yes	4	cec740d3	0	-	1
cross	def	2.0	VALID	0	2	0	1	701	2097	1398	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	def	def	VALID	0	2	0	1	356	1062	708	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	8	def	VALID	0	2	0	1	308	918	612	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	10	def	VALID	0	2	0	1	432	1290	860	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	12	def	VALID	0	2	0	1	448	1338	892	0	1e-6	3	1	yes	4	cec740d3	0	-	1
boss_plate	14	def	VALID	0	2	0	1	692	2070	1380	0	1e-6	3	1	yes	4	cec740d3	0	-	1
