# tile	case	family	fn	col	op	valid	bnd	nonman	nmvert	chi	genus	comp	wantcomp	v	e	f	folds	warn	corners	class	tier	want_class	verdict_flags	tol	runs	distinct	secs	bin	camera
AC02-R5-C1	AC02	crease	64	1	original	VALID	0	0	0	2	0	1	1	8	18	12	0	0		-		none	OK	1e-6	1	1	0.10	9de6d8c0	19.926,-29.814,29.851,8,0,6
AC02-R5-C2	AC02	crease	64	2	fillet	VALID	0	0	0	2	0	1	1	64	186	124	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=1 none=2	weld	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	none	OK	1e-6	1	1	0.10	9de6d8c0	19.926,-29.814,29.851,8,0,6
AC02-R5-C3	AC02	crease	64	3	chamfer	VALID	0	0	0	2	0	1	1	23	63	42	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=2 weld=1 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	none	OK	1e-6	1	1	0.10	9de6d8c0	19.926,-29.814,29.851,8,0,6
AC03-R1-C1	AC03	corner	stock	1	original	VALID	0	0	0	2	0	1	1	8	18	12	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R1-C2	AC03	corner	stock	2	fillet	VALID	0	0	0	2	0	1	1	84	246	164	0	0	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=12 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R1-C3	AC03	corner	stock	3	chamfer	VALID	0	0	0	2	0	1	1	56	162	108	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=8 weld=12 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R2-C1	AC03	corner	8	1	original	VALID	0	0	0	2	0	1	1	8	18	12	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R2-C2	AC03	corner	8	2	fillet	VALID	0	0	0	2	0	1	1	84	246	164	0	0	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=12 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R2-C3	AC03	corner	8	3	chamfer	VALID	0	0	0	2	0	1	1	56	162	108	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=8 weld=12 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R3-C1	AC03	corner	19	1	original	VALID	0	0	0	2	0	1	1	8	18	12	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R3-C2	AC03	corner	19	2	fillet	VALID	0	0	0	2	0	1	1	240	714	476	0	0	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=12 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.11	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R3-C3	AC03	corner	19	3	chamfer	VALID	0	0	0	2	0	1	1	56	162	108	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=8 weld=12 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R4-C1	AC03	corner	32	1	original	VALID	0	0	0	2	0	1	1	8	18	12	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R4-C2	AC03	corner	32	2	fillet	VALID	0	0	0	2	0	1	1	468	1398	932	0	0	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=12 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.11	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R4-C3	AC03	corner	32	3	chamfer	VALID	0	0	0	2	0	1	1	56	162	108	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=8 weld=12 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R5-C1	AC03	corner	64	1	original	VALID	0	0	0	2	0	1	1	8	18	12	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R5-C2	AC03	corner	64	2	fillet	VALID	0	0	0	2	0	1	1	1428	4278	2852	0	0	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=12 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.11	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC03-R5-C3	AC03	corner	64	3	chamfer	VALID	0	0	0	2	0	1	1	56	162	108	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=8 weld=12 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.11	9de6d8c0	-28.311,-28.311,34.649,0,0,12
AC04-R1-C1	AC04	corner	stock	1	original	VALID	0	0	0	2	0	1	1	14	36	24	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R1-C2	AC04	corner	stock	2	fillet	VALID	0	0	0	2	0	1	1	37	105	70	0	0	tube=0 capTri=1 cap=0 coons=0 saddle=0 flat=3 fan=0 weld=3 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R1-C3	AC04	corner	stock	3	chamfer	VALID	0	0	0	2	0	1	1	32	90	60	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=4 weld=3 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R2-C1	AC04	corner	8	1	original	VALID	0	0	0	2	0	1	1	14	36	24	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R2-C2	AC04	corner	8	2	fillet	VALID	0	0	0	2	0	1	1	37	105	70	0	0	tube=0 capTri=1 cap=0 coons=0 saddle=0 flat=3 fan=0 weld=3 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R2-C3	AC04	corner	8	3	chamfer	VALID	0	0	0	2	0	1	1	32	90	60	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=4 weld=3 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.11	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R3-C1	AC04	corner	19	1	original	VALID	0	0	0	2	0	1	1	14	36	24	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R3-C2	AC04	corner	19	2	fillet	VALID	0	0	0	2	0	1	1	70	204	136	0	0	tube=0 capTri=1 cap=0 coons=0 saddle=0 flat=3 fan=0 weld=3 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R3-C3	AC04	corner	19	3	chamfer	VALID	0	0	0	2	0	1	1	32	90	60	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=4 weld=3 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R4-C1	AC04	corner	32	1	original	VALID	0	0	0	2	0	1	1	14	36	24	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R4-C2	AC04	corner	32	2	fillet	VALID	0	0	0	2	0	1	1	112	330	220	0	0	tube=0 capTri=1 cap=0 coons=0 saddle=0 flat=3 fan=0 weld=3 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.11	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R4-C3	AC04	corner	32	3	chamfer	VALID	0	0	0	2	0	1	1	32	90	60	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=4 weld=3 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R5-C1	AC04	corner	64	1	original	VALID	0	0	0	2	0	1	1	14	36	24	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R5-C2	AC04	corner	64	2	fillet	VALID	0	0	0	2	0	1	1	268	798	532	0	0	tube=0 capTri=1 cap=0 coons=0 saddle=0 flat=3 fan=0 weld=3 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.11	9de6d8c0	50.641,50.641,50.641,16,16,16
AC04-R5-C3	AC04	corner	64	3	chamfer	VALID	0	0	0	2	0	1	1	32	90	60	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=4 weld=3 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	50.641,50.641,50.641,16,16,16
AC05-R1-C1	AC05	corner	stock	1	original	VALID	0	0	0	2	0	1	1	10	24	16	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R1-C2	AC05	corner	stock	2	fillet	VALID	0	0	0	2	0	1	1	92	270	180	0	0	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=14 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R1-C3	AC05	corner	stock	3	chamfer	VALID	0	0	0	2	0	1	1	61	177	118	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=8 weld=14 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.11	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R2-C1	AC05	corner	8	1	original	VALID	0	0	0	2	0	1	1	10	24	16	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R2-C2	AC05	corner	8	2	fillet	VALID	0	0	0	2	0	1	1	92	270	180	0	0	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=0 weld=14 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R2-C3	AC05	corner	8	3	chamfer	VALID	0	0	0	2	0	1	1	61	177	118	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=8 weld=14 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R3-C1	AC05	corner	19	1	original	VALID	0	0	0	2	0	1	1	10	24	16	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R3-C2	AC05	corner	19	2	fillet	VALID	0	0	0	2	0	1	1	255	759	506	0	0	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=1 weld=13 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.11	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R3-C3	AC05	corner	19	3	chamfer	VALID	0	0	0	2	0	1	1	61	177	118	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=8 weld=14 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R4-C1	AC05	corner	32	1	original	VALID	0	0	0	2	0	1	1	10	24	16	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R4-C2	AC05	corner	32	2	fillet	VALID	0	0	0	2	0	1	1	490	1464	976	2	0	tube=0 capTri=8 cap=0 coons=0 saddle=0 flat=0 fan=1 weld=13 none=0	capTri	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.15	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R4-C3	AC05	corner	32	3	chamfer	VALID	0	0	0	2	0	1	1	61	177	118	0	0	tube=0 capTri=0 cap=0 coons=0 saddle=0 flat=0 fan=8 weld=14 none=0	fan	tier=pullIn welded=0 gate=0 curvedFans=1 wallWalk=1	capTri	OK	1e-6	1	1	0.10	9de6d8c0	-27.441,-27.441,32.697,0,0,8
AC05-R5-C1	AC05	corner	64	1	original	VALID	0	0	0	2	0	1	1	10	24	16	0	0		-		capTri	OK	1e-6	1	1	0.10	9de6d8c0	-27.441,-27.441,32.697,0,0,8
